alpha,w,v,tau,cv_bs_loo,cv_loss,corr,phi
4.500000000000002,0.1047231420897909,0.21472394732067102,0.4263097640707878,0.26415693716954564,0.6610765024782144,0.5610960122398799,0.05145520085980235
4.450000000000002,0.10569175657913774,0.21670996603070197,0.43027837718563033,0.2643849817832463,0.6610278806885944,0.5610960122398799,0.05193105494475171
4.400000000000002,0.10667860270181082,0.2187333656990236,0.43432263921795367,0.26461858812002803,0.6609826651087541,0.5610960122398799,0.05241586314733302
4.350000000000002,0.10768420556812602,0.22079522296597587,0.43844477341224936,0.26485793547285724,0.6609410647205519,0.5610960122398799,0.052909883245017
4.3000000000000025,0.10870911090606161,0.22289665674530315,0.44264709280564185,0.2651032102869951,0.660903300425263,0.5610960122398799,0.053413383129787356
4.250000000000003,0.10975388609760231,0.2250388303491973,0.4469320049063421,0.2653546064997766,0.6608696057945735,0.5610960122398799,0.053926641316106
4.200000000000003,0.1108191212791724,0.22722295374477325,0.4513020166739343,0.2656123258992219,0.6608402278752938,0.5610960122398799,0.054449947480258554
4.150000000000003,0.11190543060964424,0.22945029464407704,0.4557597398665412,0.26587657951260263,0.6608154302314286,0.5610960122398799,0.05498360295342138
4.100000000000003,0.1130134531209756,0.23172214646470865,0.46030789653264514,0.26614758399264604,0.660795485217845,0.5610960122398799,0.0555279216493691
4.050000000000003,0.11414385462650907,0.23403988266037068,0.4649493252898377,0.2664255680217789,0.6607806878569004,0.5610960122398799,0.05608323023720743
4.0000000000000036,0.11529732874145587,0.23640492537073787,0.4696869876084368,0.2667107687961271,0.660771348379092,0.5610960122398799,0.05664986914711764
3.9500000000000037,0.11647459848024477,0.23881875701622668,0.4745239747379798,0.2670034334822735,0.6607677954871113,0.5610960122398799,0.057228193227186974
3.900000000000004,0.11767641785701952,0.24128292358028747,0.4794635150732037,0.26730381971699574,0.6607703775902614,0.5610960122398799,0.057818572527525605
3.850000000000004,0.11890357359367863,0.24379903811218018,0.484508982039473,0.2676121961362649,0.6607794641332082,0.5610960122398799,0.058421393137008275
3.8000000000000043,0.1201568870441933,0.24636879306540177,0.4896639025920476,0.26792884397150935,0.6607954493239567,0.5610960122398799,0.05903705799923303
3.7500000000000044,0.12143721574696748,0.2489939301021769,0.4949319660781593,0.26825405352793524,0.6608187445647568,0.5610960122398799,0.0596659881766908
3.7000000000000046,0.12274545610340665,0.25167629537868597,0.5003170342579843,0.2685881309445047,0.6608497936775649,0.5610960122398799,0.06030862341107086
3.650000000000005,0.12408254521904237,0.2544178103072616,0.505823151561795,0.2689313948018415,0.6608890657312445,0.5610960122398799,0.060965423523236195
3.600000000000005,0.1254494633947038,0.2572204848748541,0.5114545563784776,0.2692841778387579,0.6609370592096556,0.5610960122398799,0.06163686950918412
3.550000000000005,0.12684723669406245,0.26008642290932693,0.5172156931578427,0.26964682770445547,0.6609943041126674,0.5610960122398799,0.062323464797205394
3.5000000000000053,0.12827693970025006,0.2630178277336202,0.523111225454364,0.2700197077576951,0.6610613642302718,0.5610960122398799,0.0630257365974933
3.4500000000000055,0.12973969858186257,0.2660170168641003,0.5291460500636102,0.27040319899292353,0.6611388420691863,0.5610960122398799,0.06374423727646211
