alpha,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,cv_bs_mean,cv_bs_std,gamma_mean,gamma_std,cv_loss_mean,cv_loss_std,corr_mean,corr_std,average_mean,average_std
2.15000000000001,0.1838212636621142,0.00968305481379062,0.16317519266988856,0.004473366329419977,0.13983030937138144,9.739259026220598e-05,0.2657758672045233,0.004859863435903108,0.060647952102571685,0.0023873112509392703,0.6188845250485335,0.00979669135561268,0.5625649777898982,0.03183270736627659,0.27991999999999995,0.04001191822444908
2.1000000000000103,0.1869188782925588,0.00984412415523239,0.1659169113119007,0.004546200721513362,0.14220845956047926,0.00010383757696525804,0.2662225869155636,0.004935838366699558,0.06270654077491208,0.0024689990346490453,0.6181081411610129,0.009944487830913704,0.5625652133598813,0.0318324569273459,0.27991999999999995,0.04001191822444908
2.0500000000000105,0.19012707409441085,0.010010818481192348,0.16875602664771397,0.004621469889278584,0.14467293848609533,0.00011083082681686349,0.2666894148209178,0.005014175640349633,0.0648746745369865,0.002555093608620501,0.6173192119464144,0.010097009275489344,0.5625654688515035,0.0318321887996754,0.27991999999999995,0.04001191822444908
2.0000000000000107,0.19345217153949476,0.010183450414480037,0.17169807124825834,0.004699299640842467,0.14722879800878683,0.00011843013219935905,0.26717760062380735,0.005094986134979285,0.06716051730202426,0.0026459301043068794,0.6165177334241121,0.010254499786489376,0.5625657464382218,0.03183190136256772,0.27991999999999995,0.04001191822444908
1.9500000000000108,0.19690100611428388,0.010362357345508815,0.1747490257700988,0.004779824744133423,0.14988151327438104,0.00012670065253172228,0.26768849511758486,0.00517838780956481,0.06957303414741967,0.002741877437618299,0.6157037452281261,0.010417221740753026,0.5625660485845456,0.03183159281060682,0.27991999999999995,0.04001191822444908
1.900000000000011,0.20048098421966895,0.010547904062652482,0.17791536737153166,0.004863189752690285,0.15263703001992984,0.0001357160305226058,0.2682235605130147,0.005264506290474248,0.07212209078084306,0.002843342643254753,0.6148773387235374,0.010585457653458401,0.5625663780923468,0.0318312611282647,0.27991999999999995,0.04001191822444908
1.8500000000000112,0.2042001467830165,0.010740485741466623,0.18120412479497974,0.004949549925918593,0.15550181859340298,0.0001455597068641262,0.26878438207420907,0.005353475519627196,0.0748185681811339,0.002950775895516306,0.6140386665652785,0.01075951228097264,0.5625667381557367,0.03183090406039947,0.27991999999999995,0.04001191822444908
1.8000000000000114,0.2080672418891795,0.010940531353610748,0.1846229412459808,0.00503907225675743,0.1584829358547133,0.00015632647432641276,0.26937268126601405,0.005445438472384631,0.0776744951953232,0.0030646763466203536,0.6131879539823732,0.010939715007754173,0.5625671324263232,0.03183051907787679,0.27991999999999995,0.04001191822444908
1.7500000000000115,0.2120918080020532,0.011148507568774882,0.18818014642898379,0.005131936621783674,0.16158809636805693,0.0001681243219463861,0.2699903306535175,0.0055405479546026815,0.08070320247461456,0.0031855989431165393,0.6123255121340088,0.011126422564983883,0.5625675650911056,0.03183010333738626,0.27991999999999995,0.04001191822444908
1.7000000000000117,0.21628426967624292,0.011364923238411189,0.19188483938510173,0.005228337071214516,0.1648257545968814,0.00018107663237819095,0.27063937084062095,0.005638967489867597,0.08391950188487408,0.0033141624183099087,0.6114517539633662,0.011320022138242285,0.5625680409658109,0.031829653634320436,0.27991999999999995,0.04001191822444908
1.650000000000012,0.22065604806676675,0.011590334569441424,0.19574698413213562,0.005328483279144884,0.16820520018957752,0.0001953248112970224,0.2713220297914607,0.005740872309840202,0.08733989647483836,0.003451058706023072,0.6105672130756443,0.011520934933485355,0.5625685656071857,0.031829166347338504,0.27991999999999995,0.04001191822444908
1.600000000000012,0.22521968905627332,0.011825351120490109,0.19977752055267606,0.005432602177748343,0.1717366689180545,0.00021103144812507755,0.2720407449486959,0.005846450462949957,0.09098282728591212,0.003597064081691205,0.6096725662944944,0.011729620285431744,0.5625691454486723,0.031828637372922644,0.27991999999999995,0.04001191822444908
1.5500000000000123,0.22998901246421777,0.01207064278408024,0.20398849353853168,0.0055409398031719785,0.1754314724317479,0.00022838413376605153,0.27279818865000344,0.005955904059497133,0.0948689648188518,0.003753052414947161,0.6087686607146197,0.011946580411090955,0.562569787965071,0.0318280620478482,0.27991999999999995,0.04001191822444908
1.5000000000000124,0.23497928662113524,0.0123269479576597,0.20839320411478768,0.005653763385589749,0.17930215075527653,0.00024760009551882907,0.2735972974533933,0.006069450674678425,0.09902155493984982,0.003920011019333485,0.6078565462790294,0.01217236593463802,0.5625705018733221,0.03182743505700133,0.27991999999999995,0.04001191822444908
1.4500000000000126,0.2402074336379429,0.012595083157045661,0.2130063871825778,0.005771363721439027,0.1833626524415964,0.0002689318547280397,0.27444130611966494,0.006187324935314256,0.103466831554633,0.004099059717595888,0.606937515183036,0.012407582339646554,0.5625712973785508,0.03182675032336143,0.27991999999999995,0.04001191822444908
1.4000000000000128,0.24569227204887498,0.012875954391662144,0.21784442170173754,0.00589405787239727,0.18762854856608502,0.000292674172931563,0.2753337871751341,0.0063097803213571675,0.10823451170096263,0.004291473916341623,0.6060131497650887,0.012652897542797912,0.5625721864771602,0.031826000876191536,0.27991999999999995,0.04001191822444908
1.350000000000013,0.2514548052585609,0.013170570707038608,0.22292558067304818,0.006022192243260119,0.19211728840972397,0.0003191726328340329,0.2762786972014234,0.0064370912198903,0.11335839308073835,0.0044987127174148595,0.6050853810169085,0.012909050832307468,0.5625731833322847,0.03182517869249074,0.27991999999999995,0.04001191822444908
1.3000000000000131,0.25751856651929517,0.013480060413742258,0.22827033030017246,0.006156146099631257,0.19684850686968056,0.0003488343092764375,0.27728043128767377,0.006569555277692094,0.11887707985652254,0.004722453407540309,0.6041565604743024,0.013176863478102254,0.5625743047416268,0.03182427450551076,0.27991999999999995,0.04001191822444908
1.2500000000000133,0.2639100342005717,0.013805690673648301,0.23390169038975334,0.006296335596239383,0.20184439654783326,0.0003821411338545946,0.2783438874561773,0.006707496109076571,0.12483487031861529,0.004964634094877517,0.6032295490953961,0.013457251404406949,0.5625755707240991,0.031823277572535245,0.27991999999999995,0.04001191822444908
1.2000000000000135,0.27065913516820417,0.014148891319133102,0.2398456716355899,0.0064432183975824744,0.20713016138014123,0.00041966676159334033,0.2794745433661117,0.0068512664293573075,0.13128285057092257,0.0052275068481937755,0.6023078278812247,0.013751240426013977,0.5625770052603826,0.03182217539208203,0.27991999999999995,0.04001191822444908
