alpha,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,gamma_mean,gamma_std,corr_mean,corr_std
5.0,0.07586240909469871,0.008242820852570288,0.1711328960868973,0.009493594914812015,0.4223583400436011,0.0017186827959377606,0.014636028149507596,0.000615668440791975,-0.25638521864577196,0.13313925500711207
4.95,0.07657912844983655,0.008320413278272662,0.172739365738512,0.009579724742359975,0.4262217313475598,0.0017494994013503512,0.014912790071822677,0.0006266702241704867,-0.2563927671572042,0.13311387474763164
4.9,0.07730952837954583,0.008399487564896727,0.17437633862585242,0.009667439294592692,0.4301565551558149,0.0017811545271350872,0.015197484626142437,0.0006379714476875274,-0.2564004647552962,0.13308805661734244
4.8500000000000005,0.07805400462138656,0.008480086783378183,0.17604469351757374,0.009756782912455518,0.4341648138223901,0.0018136789421455148,0.01549041818783824,0.0006495831575707349,-0.2564083158803865,0.13306178930346496
4.800000000000001,0.07881296833584589,0.008562255696977307,0.1777453433307633,0.009847801613712338,0.4382485853479067,0.0018471048423303403,0.015791912082245653,0.0006615169178772523,-0.2564163251579943,0.1330350611002262
4.750000000000001,0.07958684686473518,0.008646040847628104,0.17947923680925829,0.009940543173243449,0.4424100269908879,0.0018814659309869058,0.016102303469473545,0.0006737848408941087,-0.2564244973455925,0.13300785991966044
4.700000000000001,0.08037608453744585,0.008731490644646251,0.1812473603022899,0.010035057208029831,0.4466513790885832,0.0019167975047058696,0.016421946291363138,0.0006863996188971979,-0.2564328374390641,0.13298017325202716
4.650000000000001,0.08118114352043994,0.008818655461385931,0.18305073965000163,0.010131395267147455,0.4509749691007645,0.001953136544026282,0.016751212284374453,0.0006993745572798231,-0.2564413504944854,0.13295198815600978
4.600000000000001,0.0820025047279272,0.008907587733968029,0.18489044218415823,0.010229610927178247,0.4553832158926154,0.0019905218118348956,0.017090492066124566,0.0007127236120594445,-0.2564500419150818,0.1329232912274592
4.550000000000002,0.08284066878209881,0.008998342067582155,0.18676757885193612,0.010329759893335889,0.45987863427357106,0.0020289939570800534,0.01744019629913106,0.0007264614281704227,-0.2564589174381512,0.13289406873133483
4.500000000000002,0.08369615702275222,0.00909097536030842,0.18868330647148407,0.010431900106376967,0.4644638398093119,0.002068595626303389,0.017800756937631352,0.0007406033804738396,-0.25646798257189607,0.13286430601498367
4.450000000000002,0.08456951260964733,0.009185546909831423,0.19063883012981428,0.010536091856844048,0.4691415539269312,0.0021093715828390835,0.018172628570530022,0.0007551656195874084,-0.25647724352007,0.1328339883168461
4.400000000000002,0.08546130166474109,0.009282118552441494,0.19263540573251334,0.010642397905605666,0.47391460933424634,0.0021513688343720895,0.01855628985952684,0.0007701651189853752,-0.2564867065968465,0.13280310019908065
