theta
1.99
1.99
1.95
1.99
1.56
1.99
1.86
1.8
1.99
1.99
1.99
1.98
1.9000000000000001
1.99
1.9100000000000001
1.99
1.99
1.99
1.74
1.99
1.9100000000000001
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.94
1.99
1.99
1.99
1.99
1.99
1.69
1.99
1.99
1.8900000000000001
1.8900000000000001
1.86
1.99
1.94
1.94
1.99
1.99
1.99
1.99
1.85
1.68
1.99
1.8
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.97
1.99
1.99
1.79
1.99
1.99
1.99
1.76
1.81
1.99
1.96
1.99
1.99
1.99
1.56
1.99
1.99
1.9100000000000001
1.99
1.99
1.87
1.99
1.99
1.99
1.78
1.75
1.99
1.9100000000000001
1.96
1.99
1.6500000000000001
1.99
1.99
1.99
1.94
1.9200000000000002
1.99
1.99
1.99
1.99
1.99
