theta
1.99
1.99
1.69
1.96
1.99
1.8800000000000001
1.72
1.97
1.99
1.99
1.99
1.99
1.97
1.77
1.99
1.99
1.99
1.99
1.99
1.69
1.99
1.99
1.8
1.99
1.99
1.95
1.99
1.93
1.99
1.78
1.99
1.99
1.99
1.77
1.99
1.99
1.99
1.75
1.96
1.99
1.99
1.99
1.8800000000000001
1.81
1.99
1.99
1.6300000000000001
1.74
1.99
1.74
1.99
1.99
1.99
1.8900000000000001
1.75
1.6700000000000002
1.99
1.99
1.99
1.95
1.84
1.68
1.73
1.48
1.84
1.9200000000000002
1.6400000000000001
1.99
1.55
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.99
1.49
1.99
1.99
1.99
1.99
1.99
1.35
1.55
1.9200000000000002
1.62
1.6500000000000001
1.74
1.96
1.99
1.77
1.99
1.71
1.99
1.99
1.8
1.99
1.99
